Kabupaten/Kota;Tahun;Jumlah_Penduduk;Persentase_miskin;pengeluaran_per_kapita
Lampung Barat;2018;300703;13.54;957114.03
Tanggamus;2018;592603;12.48;821098.94
Lampung Selatan;2018;1002285;14.86;895134.02
Lampung Timur;2018;1036193;15.76;859094.85
Lampung Tengah;2018;1271566;12.62;811270.08
Lampung Utara;2018;614701;20.85;727725.24
Way Kanan;2018;446113;13.52;864279.88
Tulang Bawang;2018;445797;9.7;989418.97
Pesawaran;2018;440192;15.97;760444.98
Pringsewu;2018;397219;10.5;810804.28
Mesuji;2018;199168;7.55;961440.9
Tulang Bawang Barat;2018;271206;8.1;747374.16
Pesisir Barat;2018;153743;14.98;871257.08
Bandar Lampung;2018;1033803;9.04;1413803.07
Metro;2018;165193;9.14;1273603.65
Lampung Barat;2019;302828;12.92;925187.52
Tanggamus;2019;598299;12.05;781236.09
Lampung Selatan;2019;1011286;14.31;936910.63
Lampung Timur;2019;1044320;15.24;809098.48
Lampung Tengah;2019;1281310;12.03;884982.88
Lampung Utara;2019;616897;19.9;786991.28
Way Kanan;2019;450109;13.07;847499.09
Tulang Bawang;2019;450902;9.35;887856.36
Pesawaran;2019;444380;15.19;824777.8
Pringsewu;2019;400187;10.15;836689.74
Mesuji;2019;200198;7.47;896915.19
Tulang Bawang Barat;2019;273215;7.75;745117.65
Pesisir Barat;2019;154895;14.48;859692.38
Bandar Lampung;2019;1051500;8.71;1389430.98
Metro;2019;167411;8.68;1370834.59
Lampung Barat;2020;304874;12.52;935075.94
Tanggamus;2020;603706;11.68;787247.02
Lampung Selatan;2020;1019789;14.08;914092.86
Lampung Timur;2020;1051994;14.62;947003.07
Lampung Tengah;2020;1290407;11.82;903893.46
Lampung Utara;2020;618818;19.3;844960.95
Way Kanan;2020;453921;12.9;895889.38
Tulang Bawang;2020;455891;9.33;842296.84
Pesawaran;2020;448410;14.76;851589.85
Pringsewu;2020;403115;9.97;929181.64
Mesuji;2020;200999;7.33;894056.35
Tulang Bawang Barat;2020;274905;7.39;804483.8
Pesisir Barat;2020;155883;14.29;947804.33
Bandar Lampung;2020;1068982;8.81;1478853.29
Metro;2020;169507;8.47;1474673.79
Lampung Barat;2021;303931;12.82;997889.74
Tanggamus;2021;645807;11.81;808844.25
Lampung Selatan;2021;1071727;14.19;1058437
Lampung Timur;2021;1118115;15.08;873180.15
Lampung Tengah;2021;1477395;11.99;901699.84
Lampung Utara;2021;634117;19.63;827499.11
Way Kanan;2021;476871;13.09;959577.73
Tulang Bawang;2021;427152;9.67;855352.09
Pesawaran;2021;481708;15.11;831129.08
Pringsewu;2021;406823;10.11;961585.77
Mesuji;2021;229772;7.54;957265.51
Tulang Bawang Barat;2021;287707;8.32;850506.05
Pesisir Barat;2021;165937;14.81;1040288.29
Bandar Lampung;2021;1184949;9.11;1756444.65
Metro;2021;169781;8.93;1520133.11
Lampung Barat;2022;303397;11.71;994412.61
Tanggamus;2022;652898;10.98;849172.58
Lampung Selatan;2022;1081115;13.14;1079449.63
Lampung Timur;2022;1127946;13.98;997496.96
Lampung Tengah;2022;1500022;10.96;971374.43
Lampung Utara;2022;635129;18.41;858543.76
Way Kanan;2022;481036;11.76;1015508.45
Tulang Bawang;2022;431208;8.42;1018361.6
Pesawaran;2022;487153;13.85;854276.89
Pringsewu;2022;408415;9.34;967431.04
Mesuji;2022;232685;6.84;1087871.67
Tulang Bawang Barat;2022;289620;7.44;957921.82
Pesisir Barat;2022;164816;13.84;964713.55
Bandar Lampung;2022;1209937;8.21;1691234.38
Metro;2022;170169;7.87;1527127.06
Lampung Barat;2023;303931;11.17;1050660
Tanggamus;2023;659818;10.52;964523
Lampung Selatan;2023;1090174;12.79;1167809
Lampung Timur;2023;1137434;13.8;1052755
Lampung Tengah;2023;1522426;10.65;1169978
Lampung Utara;2023;635903;17.17;956338
Way Kanan;2023;485056;11.02;1149924
Tulang Bawang;2023;431623;8.04;1027828
Pesawaran;2023;492474;12.89;1051457
Pringsewu;2023;409858;9.14;1038116
Mesuji;2023;235546;6.73;1138456
Tulang Bawang Barat;2023;291437;7.25;1068317
Pesisir Barat;2023;165937;13.49;1083326
Bandar Lampung;2023;1234988;7.77;1968674
Metro;2023;172505;7.28;1475283
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
Lampung Barat;;;;
Tanggamus;;;;
Lampung Selatan;;;;
Lampung Timur;;;;
Lampung Tengah;;;;
Lampung Utara;;;;
Way Kanan;;;;
Tulang Bawang;;;;
Pesawaran;;;;
Pringsewu;;;;
Mesuji;;;;
Tulang Bawang Barat;;;;
Pesisir Barat;;;;
Bandar Lampung;;;;
Metro;;;;
